"Name","Description","VIVIENDA_VANCAN_2016","LONGITUDE","LATITUDE","geometry"
"1.1.29-5","",0.6471,"-71.5166864006451","-16.3729206786317",c(-71.5166864006451, -16.3729206786317)
"1.1.29-6","",0.8333,"-71.5163021108431","-16.3733789790302",c(-71.5163021108431, -16.3733789790302)
"1.1.29-7","",0.5714,"-71.5155876440274","-16.3735956983225",c(-71.5155876440274, -16.3735956983225)
"1.1.29-8","",0.375,"-71.5162898280463","-16.3741278089471",c(-71.5162898280463, -16.3741278089471)
"1.1.34-1","",0.3684,"-71.5122579803781","-16.3721187142673",c(-71.5122579803781, -16.3721187142673)
"1.1.34-10","",0.6154,"-71.5105554516918","-16.3712696495558",c(-71.5105554516918, -16.3712696495558)
"1.1.34-11","",0.75,"-71.509913856066","-16.3707840931962",c(-71.509913856066, -16.3707840931962)
"1.1.34-12","",0.5,"-71.5103082804535","-16.3702782920466",c(-71.5103082804535, -16.3702782920466)
"1.1.34-14","",0.75,"-71.5093960121461","-16.3704040677253",c(-71.5093960121461, -16.3704040677253)
"1.1.34-15","",0.8571,"-71.5088736964269","-16.3710490140455",c(-71.5088736964269, -16.3710490140455)
"1.1.34-16","",0.9091,"-71.5083580446648","-16.3706562111191",c(-71.5083580446648, -16.3706562111191)
"1.1.34-17","",0.875,"-71.5078741049208","-16.3712644776507",c(-71.5078741049208, -16.3712644776507)
"1.1.34-18","",0.64,"-71.5079792957903","-16.3721527189751",c(-71.5079792957903, -16.3721527189751)
"1.1.34-19","",0.8,"-71.508905531987","-16.3720406692792",c(-71.508905531987, -16.3720406692792)
"1.1.34-2","",0.7,"-71.5113822508068","-16.3718887737071",c(-71.5113822508068, -16.3718887737071)
"1.1.34-20","",0.7778,"-71.5093895974731","-16.3714405196242",c(-71.5093895974731, -16.3714405196242)
"1.1.34-21","",0,"-71.5104876610409","-16.372227379972",c(-71.5104876610409, -16.372227379972)
"1.1.34-22","",0.9286,"-71.5095394236617","-16.3725043361761",c(-71.5095394236617, -16.3725043361761)
"1.1.34-23","",0.5714,"-71.5095873909239","-16.3733565374277",c(-71.5095873909239, -16.3733565374277)
"1.1.34-24","",0.5625,"-71.5103642389086","-16.3731306569932",c(-71.5103642389086, -16.3731306569932)
"1.1.34-25","",0.5294,"-71.5114669701421","-16.3731546629565",c(-71.5114669701421, -16.3731546629565)
"1.1.34-26","",0.9,"-71.5107934656868","-16.3740326040666",c(-71.5107934656868, -16.3740326040666)
"1.1.34-27","",0.6842,"-71.5100423367146","-16.374514933967",c(-71.5100423367146, -16.374514933967)
"1.1.34-28","",0.6,"-71.5091628721448","-16.3738627548266",c(-71.5091628721448, -16.3738627548266)
"1.1.34-29","",0.6667,"-71.5085643375218","-16.373413855562",c(-71.5085643375218, -16.373413855562)
"1.1.34-3","",0.8182,"-71.5117784849742","-16.3713759531979",c(-71.5117784849742, -16.3713759531979)
"1.1.34-30","",0.7241,"-71.5076175112205","-16.3726767015482",c(-71.5076175112205, -16.3726767015482)
"1.1.34-4","",0.625,"-71.5121775674854","-16.3708548178362",c(-71.5121775674854, -16.3708548178362)
"1.1.34-5","",0.5833,"-71.5131591679462","-16.3709461476471",c(-71.5131591679462, -16.3709461476471)
"1.1.34-6","",0.4286,"-71.5125726009715","-16.370349527674",c(-71.5125726009715, -16.370349527674)
"1.1.34-7","",0.25,"-71.5118839396135","-16.3698464087474",c(-71.5118839396135, -16.3698464087474)
"1.1.34-8","",0.8667,"-71.5113903216403","-16.3703105879934",c(-71.5113903216403, -16.3703105879934)
"1.1.34-9","",0.8889,"-71.5109696306317","-16.370768531193",c(-71.5109696306317, -16.370768531193)
"1.1.36-10","",0.6667,"-71.5074814183953","-16.3732345966884",c(-71.5074814183953, -16.3732345966884)
"1.1.36-11","",0.5,"-71.5068773632874","-16.372464456828",c(-71.5068773632874, -16.372464456828)
"1.1.36-2","",0.5,"-71.5084028984414","-16.3741158656195",c(-71.5084028984414, -16.3741158656195)
"1.1.36-3","",0.5,"-71.508029035151","-16.3741255204785",c(-71.508029035151, -16.3741255204785)
"1.1.36-4","",0.6,"-71.5082547674846","-16.373908006439",c(-71.5082547674846, -16.373908006439)
"1.1.36-5","",0.4,"-71.5080507580054","-16.3736890338272",c(-71.5080507580054, -16.3736890338272)
"1.1.36-6","",1,"-71.5078058722533","-16.373933960744",c(-71.5078058722533, -16.373933960744)
"1.1.36-7","",1,"-71.5074981292846","-16.3736487321033",c(-71.5074981292846, -16.3736487321033)
"1.1.36-8","",0.625,"-71.5065463003199","-16.3729589128966",c(-71.5065463003199, -16.3729589128966)
"1.1.36-9","",0.8333,"-71.5067114079034","-16.3726797133295",c(-71.5067114079034, -16.3726797133295)
"1.1.39-1","",0.6,"-71.5075799651262","-16.3688975196837",c(-71.5075799651262, -16.3688975196837)
"1.1.39-10","",0.1667,"-71.5078928129316","-16.3686181687785",c(-71.5078928129316, -16.3686181687785)
"1.1.39-11","",0,"-71.508191641294","-16.368251413903",c(-71.508191641294, -16.368251413903)
"1.1.39-13","",0.6154,"-71.508342977839","-16.3672885715683",c(-71.508342977839, -16.3672885715683)
