type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.1.1-7; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-7;-16.38883978;-71.52477504;8186375.293;230325.0772;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-7;-16.38862232;-71.52450683;8186399.724;230353.4414;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-7;-16.38835649;-71.52412719;8186429.659;230393.6477;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-7;-16.38789603;-71.52451211;8186480.125;230351.8765;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-7;-16.38814615;-71.52482175;8186452.023;230319.1294;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-7;-16.38846708;-71.52528313;8186415.878;230270.2637;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-7;-16.38894316;-71.52492012;8186363.655;230309.7151;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-8; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-8;-16.38816339;-71.52386961;8186451.379;230420.9087;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-8;-16.38783704;-71.52348496;8186488.021;230461.5679;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-8;-16.38734734;-71.52280604;8186543.138;230533.4504;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-8;-16.38691581;-71.52313708;8186590.472;230497.4774;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-8;-16.38707966;-71.52335039;8186572.049;230474.9064;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-8;-16.3874019;-71.52381813;8186535.751;230425.3619;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-8;-16.38783949;-71.52443228;8186486.491;230360.3301;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-8;-16.38831082;-71.52404842;8186434.819;230402.003;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-9; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-9;-16.38833684;-71.52329848;8186432.936;230482.1848;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-9;-16.38809226;-71.52308135;8186460.302;230505.0526;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-9;-16.38766713;-71.52254074;8186508.086;230562.2432;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-9;-16.38740119;-71.52274305;8186537.259;230540.2555;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-9;-16.38765674;-71.52308154;8186508.518;230504.4331;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-9;-16.38797499;-71.52352665;8186472.693;230457.3022;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-9;-16.38837286;-71.52398704;8186428.033;230408.6474;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-9;-16.38874236;-71.52372287;8186387.477;230437.3887;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-10; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-10;-16.38749055;-71.52234667;8186527.893;230582.7399;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-10;-16.38709596;-71.52188112;8186572.195;230631.9507;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-10;-16.38637592;-71.52241037;8186651.208;230574.3988;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-10;-16.38659181;-71.52270564;8186626.915;230543.1401;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-10;-16.38684441;-71.52306398;8186598.473;230505.1914;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-10;-16.38762154;-71.52247797;8186513.216;230568.888;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-11; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-11;-16.38846727;-71.52293231;8186418.982;230521.4973;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-11;-16.38818438;-71.52248478;8186450.896;230568.9346;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-11;-16.38795821;-71.52225521;8186476.239;230593.1579;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-11;-16.3876043;-71.52204523;8186515.7;230615.1113;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-11;-16.38723624;-71.52172743;8186556.869;230648.5689;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-11;-16.38712325;-71.52183324;8186569.238;230637.1054;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-11;-16.38737123;-71.52212392;8186541.399;230606.3813;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-11;-16.38765646;-71.52245985;8186509.375;230570.8726;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-11;-16.38784829;-71.52270608;8186487.81;230544.8224;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-11;-16.38803246;-71.52295494;8186467.09;230518.4796;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-11;-16.38824602;-71.52314944;8186443.188;230497.9873;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-11;-16.38844744;-71.52335447;8186420.617;230476.3536;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-11;-16.38878235;-71.52367216;8186383.117;230442.8629;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-11;-16.38888446;-71.52361264;8186371.892;230449.3643;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12; ; ;10000000;11015404.5; ; ; ; ; ; ; ; ; ; 
TRACK;1.1.1-12;-16.3881362;-71.52222933;8186456.569;230596.1691;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38806123;-71.52200129;8186465.172;230620.4359;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38794338;-71.52164902;8186478.686;230657.9214;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38791364;-71.5214868;8186482.194;230675.2172;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38758349;-71.52101123;8186519.376;230725.5873;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38740809;-71.52087276;8186538.979;230740.1441;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38691378;-71.52059994;8186594.066;230768.6211;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38654322;-71.52032768;8186635.451;230797.208;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.3861183;-71.5198783;8186683.09;230844.6497;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38597742;-71.51996688;8186698.569;230834.9894;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38609079;-71.52013972;8186685.789;230816.6738;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38621183;-71.52030352;8186672.171;230799.3349;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38637249;-71.52049064;8186654.136;230779.5575;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38654867;-71.52060316;8186634.483;230767.7754;False; ; ;0; ; ; ; ; ; 
TRACK;1.1.1-12;-16.38671594;-71.52064205;8186615.913;230763.8487;False; ; ;0; ; ; ; ; ; 
